"filename", "language", "JSON", "C++", "CMake", "Markdown", "HTML", "Python", "XML", "GLSL", "Slang", "PostCSS", "comment", "blank", "total"
"d:\temp\Lumen\.cursor_gltf_loader_vs.cpp", "C++", 0, 1295, 0, 0, 0, 0, 0, 0, 0, 0, 71, 334, 1700
"d:\temp\Lumen\CMakeLists.txt", "CMake", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58
"d:\temp\Lumen\DEVELOP.md", "Markdown", 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 91, 412
"d:\temp\Lumen\README.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 29, 91
"d:\temp\Lumen\assets\model\Sponza\LICENSE.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8, 16
"d:\temp\Lumen\assets\model\Sponza\README.body.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 27, 69
"d:\temp\Lumen\assets\model\Sponza\README.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 40, 95
"d:\temp\Lumen\assets\model\Sponza\glTF\Sponza.gltf", "JSON", 8573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8574
"d:\temp\Lumen\assets\model\Sponza\metadata.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\temp\Lumen\cmake\FindExternal.cmake", "CMake", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 16, 88
"d:\temp\Lumen\cmake\ShaderCompile.cmake", "CMake", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"d:\temp\Lumen\cmake\utils.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\temp\Lumen\docs\README.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 12, 59
"d:\temp\Lumen\docs\design\demo3d-pbr-material-system.md", "Markdown", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 43, 138
"d:\temp\Lumen\docs\design\editor-ui.md", "Markdown", 0, 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 217, 672
"d:\temp\Lumen\docs\design\gizmos.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 19, 53
"d:\temp\Lumen\docs\design\imgui-integration.md", "Markdown", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 54, 186
"d:\temp\Lumen\docs\design\material-system-ibl-pbr.md", "Markdown", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 92, 254
"d:\temp\Lumen\docs\design\pbr-ibl-disney-skybox.md", "Markdown", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 52, 154
"d:\temp\Lumen\docs\design\render-engine-features.md", "Markdown", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 81, 336
"d:\temp\Lumen\docs\design\render-engine-roadmap.md", "Markdown", 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 118, 690
"d:\temp\Lumen\docs\design\render-graph.md", "Markdown", 0, 0, 0, 613, 0, 0, 0, 0, 0, 0, 0, 330, 943
"d:\temp\Lumen\docs\design\scene-camera.md", "Markdown", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 43, 113
"d:\temp\Lumen\docs\design\scene-ecs.md", "Markdown", 0, 0, 0, 438, 0, 0, 0, 0, 0, 0, 0, 230, 668
"d:\temp\Lumen\docs\design\ui-panels.md", "Markdown", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 65, 248
"d:\temp\Lumen\docs\design\vulkan-materials.md", "Markdown", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 68, 196
"d:\temp\Lumen\docs\guides\ai-assisted-workflow.md", "Markdown", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 74, 231
